,calibration_factor,R_origin,z_origin,R_endpoint,z_endpoint
0,1.0,2.076,0.0,0.196,0.029
1,1.0,2.076,0.0,0.196,-0.0395
2,-1.0,2.076,0.0,0.196,-0.11569999694824219
3,1.0,2.076,0.0,0.196,-0.186
4,1.0,2.076,0.0,0.196,-0.258
5,1.0,2.076,0.0,0.196,-0.331
6,1.0,2.076,0.0,0.196,-0.4072000122070313
7,1.0,2.076,0.0,0.196,-0.48470001220703124
8,1.0,2.076,0.0,0.196,-0.5640000000000001
9,1.0,2.076,0.0,0.196,-0.6572000122070313
10,1.0,2.076,0.0,0.196,-0.741
11,1.0,2.076,0.0,0.196,-0.8270000000000001
12,1.0,2.076,0.0,0.196,-0.9155
13,1.0,2.076,0.0,0.196,-1.0062000122070314
14,1.0,2.076,0.0,0.196,-0.029
15,1.0,2.076,0.0,0.196,0.0395
16,-1.0,2.076,0.0,0.196,0.11569999694824219
17,1.0,2.076,0.0,0.196,0.186
18,1.0,2.076,0.0,0.196,0.258
19,1.0,2.076,0.0,0.196,0.331
20,1.0,2.076,0.0,0.196,0.4072000122070313
21,1.0,2.076,0.0,0.196,0.48470001220703124
22,1.0,2.076,0.0,0.196,0.5640000000000001
23,1.0,2.076,0.0,0.196,0.6572000122070313
24,1.0,2.076,0.0,0.196,0.741
25,1.0,2.076,0.0,0.196,0.8270000000000001
26,1.0,2.076,0.0,0.196,0.9155
27,1.0,2.076,0.0,0.196,1.0062000122070314
