r1,z1,r2,z2,comment,name
2.076,0.0,0.196,0.029,,
2.076,0.0,0.196,-0.0395,,
2.076,0.0,0.196,-0.11569999694824219,,
2.076,0.0,0.196,-0.186,,
2.076,0.0,0.196,-0.258,,
2.076,0.0,0.196,-0.331,,
2.076,0.0,0.196,-0.4072000122070313,,
2.076,0.0,0.196,-0.48470001220703124,,
2.076,0.0,0.196,-0.5640000000000001,,
2.076,0.0,0.196,-0.6572000122070313,,
2.076,0.0,0.196,-0.741,,
2.076,0.0,0.196,-0.8270000000000001,,
2.076,0.0,0.196,-0.9155,,
2.076,0.0,0.196,-1.0062000122070314,,
2.076,0.0,0.196,-0.029,,
2.076,0.0,0.196,0.0395,,
2.076,0.0,0.196,0.11569999694824219,,
2.076,0.0,0.196,0.186,,
2.076,0.0,0.196,0.258,,
2.076,0.0,0.196,0.331,,
2.076,0.0,0.196,0.4072000122070313,,
2.076,0.0,0.196,0.48470001220703124,,
2.076,0.0,0.196,0.5640000000000001,,
2.076,0.0,0.196,0.6572000122070313,,
2.076,0.0,0.196,0.741,,
2.076,0.0,0.196,0.8270000000000001,,
2.076,0.0,0.196,0.9155,,
2.076,0.0,0.196,1.0062000122070314,,
