name,r1,z1,r2,z2,p_mm,theta_rad,comment
XSX HCAML#1,0.0,0.0,0.0,0.0,0.0,0.0,Channel viewing slightly below midplane.
XSX HCAML#2,196.0,39.5,2076.0,0.0,28.9,1.550,SXR emissivity - Centrally viewing channel.
XSX HCAML#3,196.0,115.7,2076.0,0.0,84.5,1.509,
XSX HCAML#4,196.0,186.0,2076.0,0.0,135.5,1.472,
XSX HCAML#5,196.0,258.0,2076.0,0.0,187.1,1.434,
XSX HCAML#6,196.0,331.0,2076.0,0.0,239.1,1.396,
XSX HCAML#7,196.0,407.2,2076.0,0.0,291.3,1.358,
XSX HCAML#8,196.0,484.7,2076.0,0.0,343.5,1.318,
XSX HCAML#9,196.0,564.0,2076.0,0.0,395.4,1.279,
XSX HCAML#10,196.0,657.2,2076.0,0.0,454.1,1.235,
XSX HCAML#11,196.0,741.0,2076.0,0.0,504.6,1.195,
XSX HCAML#12,196.0,827.0,2076.0,0.0,554.1,1.156,
XSX HCAML#13,196.0,915.5,2076.0,0.0,602.4,1.118,
XSX HCAML#14,196.0,1006.2,2076.0,0.0,649.3,1.079,
XSX HCAML#15,202.7,1095.5,2076.0,0.0,694.6,1.042,
XSX HCAML#16,243.0,1165.3,2076.0,0.0,738.2,1.005,
XSX HCAML#17,280.0,1253.0,2076.0,0.0,787.3,0.962,Extreme upper channel
XSX HCAML#18,0.0,0.0,0.0,0.0,0.0,0.0,Blanked pass
