name,r1,z1,r2,z2,p_mm,theta_rad,comment
XSX TCAM#1,1763.0,1441.0,0.0,0.0,0.0,0.0,"Extreme inner channel (central column)."
XSX TCAM#2,1763.0,1441.0,0.0,86.49,68.6,2.226,
XSX TCAM#3,1763.0,1441.0,0.0,171.60,139.3,2.195,
XSX TCAM#4,1763.0,1441.0,0.0,256.04,212.5,2.163,
XSX TCAM#5,1763.0,1441.0,0.0,339.81,288.2,2.129,
XSX TCAM#6,1763.0,1441.0,0.0,422.93,366.3,2.094,
XSX TCAM#7,1763.0,1441.0,0.0,505.41,446.4,2.059,
XSX TCAM#8,1763.0,1441.0,0.0,587.24,528.5,2.022,
XSX TCAM#9,1763.0,1441.0,0.0,668.46,612.3,1.984,
XSX TCAM#10,1763.0,1441.0,0.0,760.39,709.4,1.940,
XSX TCAM#11,1763.0,1441.0,0.0,840.27,795.4,1.899,
XSX TCAM#12,1763.0,1441.0,0.0,919.54,881.8,1.858,
XSX TCAM#13,1763.0,1441.0,0.0,998.21,968.1,1.817,
XSX TCAM#14,1763.0,1441.0,0.0,1076.28,1054.0,1.775,
XSX TCAM#15,1763.0,1441.0,0.0,1153.77,1138.8,1.732,
XSX TCAM#16,1763.0,1441.0,0.0,1230.68,1222.0,1.690,
XSX TCAM#17,1763.0,1441.0,0.0,1308.94,1305.3,1.646,
XSX TCAM#18,1763.0,1441.0,0.0,1382.77,1382.0,1.604,"Extreme outer channel (p"
