name,r1,z1,r2,z2,p_mm,theta_rad,comment
XSX HCAMU#1,0.0,0.0,0.0,0.0,0.0,0.0,"Channel viewing slightly above midplane."
XSX HCAMU#2,196.0,-39.5,2076.0,0.0,28.9,4.733,"SXR emissivity - Centrally viewing channel."
XSX HCAMU#3,196.0,-115.7,2076.0,0.0,84.5,4.774,
XSX HCAMU#4,196.0,-186.0,2076.0,0.0,135.5,4.811,
XSX HCAMU#5,196.0,-258.0,2076.0,0.0,187.1,4.849,
XSX HCAMU#6,196.0,-331.0,2076.0,0.0,239.1,4.887,
XSX HCAMU#7,196.0,-407.2,2076.0,0.0,291.1,4.926,
XSX HCAMU#8,196.0,-484.7,2076.0,0.0,343.5,4.965,
XSX HCAMU#9,196.0,-564.0,2076.0,0.0,395.4,5.004,
XSX HCAMU#10,196.0,-657.2,2076.0,0.0,454.1,5.049,
XSX HCAMU#11,196.0,-741.0,2076.0,0.0,504.6,5.088,
XSX HCAMU#12,196.0,-827.0,2076.0,0.0,554.1,5.127,
XSX HCAMU#13,196.0,-915.5,2076.0,0.0,602.4,5.166,
XSX HCAMU#14,196.0,-1006.2,2076.0,0.0,649.3,5.204,
XSX HCAMU#15,202.7,-1095.5,2076.0,0.0,694.6,5.242,
XSX HCAMU#16,243.0,-1165.3,2076.0,0.0,738.2,5.279,
XSX HCAMU#17,280.0,-1253.0,2076.0,0.0,787.3,5.322,Extreme lower channel.
XSX HCAMU#18,0.0,0.0,0.0,0.0,0.0,0.0,Blanked passive
